electrode,muscle,condition,mesh,lead_field,db_rel_best_jaw
above_ear,masseter,iso,truncated,0.1000017975199814,-4.6784
above_ear,temporalis,iso,truncated,0.1338523079117876,1.9897
above_ear,medial_pterygoid,iso,truncated,0.1048532748150856,-3.6301
above_ear,lateral_pterygoid,iso,truncated,0.1010708942698663,-0.2586
above_ear,orbicularis_oris,iso,truncated,0.0822197112359355,-12.5227
above_ear,buccinator,iso,truncated,0.0998618710171024,-13.6735
above_ear,mentalis,iso,truncated,0.044492248864152,-26.0553
above_ear,depressor_anguli_oris,iso,truncated,0.0765448009176328,-18.3525
above_ear,platysma,iso,truncated,0.0646301656387412,-14.5433
above_ear,sternocleidomastoid,iso,truncated,0.0760484374805611,-3.4211
buccal,masseter,iso,truncated,0.156107004224565,-0.8101
buccal,temporalis,iso,truncated,0.0705859363502796,-3.5685
buccal,medial_pterygoid,iso,truncated,0.1175889238264648,-2.6345
buccal,lateral_pterygoid,iso,truncated,0.0756916763845074,-2.7702
buccal,orbicularis_oris,iso,truncated,0.2551756847543616,-2.6854
buccal,buccinator,iso,truncated,0.2962292972334199,-4.2289
buccal,mentalis,iso,truncated,0.2757299348383606,-10.2113
buccal,depressor_anguli_oris,iso,truncated,0.2897711386393721,-6.7897
buccal,platysma,iso,truncated,0.2468146293997926,-2.9046
buccal,sternocleidomastoid,iso,truncated,0.0884439063570743,-2.1095
cg01,masseter,iso,truncated,0.119023271079356,-3.1659
cg01,temporalis,iso,truncated,0.1557843466151074,3.3076
cg01,medial_pterygoid,iso,truncated,0.1175901420439972,-2.6344
cg01,lateral_pterygoid,iso,truncated,0.1143573353015112,0.8142
cg01,orbicularis_oris,iso,truncated,0.0946471346273888,-11.3001
cg01,buccinator,iso,truncated,0.1134577778062894,-12.5648
cg01,mentalis,iso,truncated,0.050765608200565,-24.9096
cg01,depressor_anguli_oris,iso,truncated,0.087347536480508,-17.2058
cg01,platysma,iso,truncated,0.0718386340935698,-13.6249
cg01,sternocleidomastoid,iso,truncated,0.077079616869743,-3.3041
cg02,masseter,iso,truncated,0.0997357150492559,-4.7015
cg02,temporalis,iso,truncated,0.1367136117332799,2.1734
cg02,medial_pterygoid,iso,truncated,0.1044452625014643,-3.664
cg02,lateral_pterygoid,iso,truncated,0.100786227580578,-0.2831
cg02,orbicularis_oris,iso,truncated,0.0824116641250565,-12.5024
cg02,buccinator,iso,truncated,0.0994561123870486,-13.7088
cg02,mentalis,iso,truncated,0.044304051748577,-26.0921
cg02,depressor_anguli_oris,iso,truncated,0.0763818667060171,-18.371
cg02,platysma,iso,truncated,0.0643253495262034,-14.5844
cg02,sternocleidomastoid,iso,truncated,0.0749872159992456,-3.5431
cg03,masseter,iso,truncated,0.0893028535922569,-5.6612
cg03,temporalis,iso,truncated,0.1287067233579315,1.6492
cg03,medial_pterygoid,iso,truncated,0.1015581229592049,-3.9075
cg03,lateral_pterygoid,iso,truncated,0.0951136247935991,-0.7863
cg03,orbicularis_oris,iso,truncated,0.0789074322092543,-12.8799
cg03,buccinator,iso,truncated,0.0964462071315027,-13.9758
cg03,mentalis,iso,truncated,0.0431605796196478,-26.3193
cg03,depressor_anguli_oris,iso,truncated,0.0739919845101197,-18.6471
cg03,platysma,iso,truncated,0.063960653649477,-14.6338
cg03,sternocleidomastoid,iso,truncated,0.0807862869224423,-2.8961
cg04,masseter,iso,truncated,0.0888444413980266,-5.7059
cg04,temporalis,iso,truncated,0.1226228027065574,1.2286
cg04,medial_pterygoid,iso,truncated,0.1068788064092939,-3.464
cg04,lateral_pterygoid,iso,truncated,0.09479825266542,-0.8151
cg04,orbicularis_oris,iso,truncated,0.0832534517263844,-12.4142
cg04,buccinator,iso,truncated,0.1020451878760464,-13.4856
cg04,mentalis,iso,truncated,0.0462750448536158,-25.7141
cg04,depressor_anguli_oris,iso,truncated,0.0793253163631029,-18.0425
cg04,platysma,iso,truncated,0.0699270811323718,-13.8591
cg04,sternocleidomastoid,iso,truncated,0.0971058099495296,-1.298
cg05,masseter,iso,truncated,0.0797501944309495,-6.6439
cg05,temporalis,iso,truncated,0.096417968284165,-0.8597
cg05,medial_pterygoid,iso,truncated,0.0958784898726264,-4.4074
